sequenceID,-7.0,-6.75,-6.5,-6.25,-6.0,-5.75,-5.5,-5.25,-5.0,-4.75,-4.5,-4.25,-4.0,-3.75,-3.5,-3.25,-3.0,-2.75,-2.5,-2.25,-2.0,-1.75,-1.5,-1.25,-1.0,-0.75,-0.5,-0.25,0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,6.25,6.5,6.75,7.0
20124.2,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
20124.3,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))"
20129.20,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
20133.X,"((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((0, 0), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))"
20134.X,"((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((2, 0), (3, 0))","((2, 0), (3, 0))","((2, 0), (3, 0))","((2, 0), (3, 0))","((2, 0), (3, 0))","((2, 0), (3, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 1), (0, 2))","((0, 1), (0, 2))","((0, 1), (0, 2))","((0, 1), (0, 2))","((0, 1), (0, 2))","((0, 1), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))"
20135.14,"((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((2, 0), (2, 0))","((3, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
20136.17,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
20138.1,"((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 2))","((2, 0), (0, 2))","((1, 0), (0, 2))","((2, 0), (0, 2))","((1, 0), (0, 2))","((2, 0), (0, 2))","((2, 0), (0, 2))","((2, 0), (0, 2))","((2, 0), (0, 2))","((1, 0), (0, 2))","((1, 0), (0, 2))","((1, 0), (0, 2))","((1, 0), (0, 2))","((1, 0), (0, 2))","((1, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))"
20139.12,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
20139.16,"((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((1, 2), (0, 2))","((1, 2), (0, 2))","((1, 2), (0, 2))","((1, 2), (0, 2))","((1, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))"
20139.17,"((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((1, 0), (2, 0))","((1, 0), (2, 0))","((0, 0), (2, 0))","((0, 0), (2, 0))","((0, 0), (2, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))"
20139.3,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
20139.4,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 2), (1, 0))","((0, 2), (1, 0))","((0, 2), (1, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))"
20139.5,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
20140.14,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
20140.15,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
20141.12,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
20141.14,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
